OBJECTID,EDGELEVEL,TOLL,LTN,MED,RST,UUID,OBJVAL,left,top,right,bottom,length,hex_id
"39831",1,Keine Gebühr,"2",Without median,Paved,{706C7A96-6C6F-48EE-B31E-A2C4A3E3581F},NebenStr3,2599306.340597653761506,1200187.262499999953434,2599883.690866843331605,1199687.262499999953434,"114","116438"
"39831",1,Keine Gebühr,"2",Without median,Paved,{706C7A96-6C6F-48EE-B31E-A2C4A3E3581F},NebenStr3,2599739.353299546055496,1200937.262499999953434,2600316.703568735625595,1200437.262499999953434,"73","116879"
"39831",1,Keine Gebühr,"2",Without median,Paved,{706C7A96-6C6F-48EE-B31E-A2C4A3E3581F},NebenStr3,2599739.353299546055496,1200437.262499999953434,2600316.703568735625595,1199937.262499999953434,"242","116880"
"40196",1,Keine Gebühr,"2",Without median,Paved,{C4AC4955-9C55-4AEF-8D6E-99520293F02D},NebenStr3,2640009.534575522411615,1252687.262499999953434,2640586.884844711981714,1252187.262499999953434,"25","157881"
"40197",1,Keine Gebühr,"2",Without median,Paved,{84A42A16-E6CC-43F0-8B80-2B1A4379210D},NebenStr3,2640009.534575522411615,1252687.262499999953434,2640586.884844711981714,1252187.262499999953434,"423","157881"
"40198",1,Keine Gebühr,"2",Without median,Paved,{B655E071-F34B-4BA7-AA15-8E1860760F77},NebenStr3,2644339.661594443954527,1254187.262499999953434,2644917.011863633990288,1253687.262499999953434,"44","162298"
"40199",1,Keine Gebühr,"2",Without median,Paved,{E927C084-E9B1-4A65-ACEA-B4537094EE31},NebenStr3,2644339.661594443954527,1254187.262499999953434,2644917.011863633990288,1253687.262499999953434,"619","162298"
"40199",1,Keine Gebühr,"2",Without median,Paved,{E927C084-E9B1-4A65-ACEA-B4537094EE31},NebenStr3,2644339.661594443954527,1253687.262499999953434,2644917.011863633990288,1253187.262499999953434,"398","162299"
"40199",1,Keine Gebühr,"2",Without median,Paved,{E927C084-E9B1-4A65-ACEA-B4537094EE31},NebenStr3,2644772.674296336714178,1253437.262499999953434,2645350.024565526284277,1252937.262499999953434,"532","162742"
"40199",1,Keine Gebühr,"2",Without median,Paved,{E927C084-E9B1-4A65-ACEA-B4537094EE31},NebenStr3,2644772.674296336714178,1252937.262499999953434,2645350.024565526284277,1252437.262499999953434,"484","162743"
"40199",1,Keine Gebühr,"2",Without median,Paved,{E927C084-E9B1-4A65-ACEA-B4537094EE31},NebenStr3,2645205.686998229008168,1252687.262499999953434,2645783.037267418578267,1252187.262499999953434,"508","163185"
"40199",1,Keine Gebühr,"2",Without median,Paved,{E927C084-E9B1-4A65-ACEA-B4537094EE31},NebenStr3,2645638.699700121302158,1252437.262499999953434,2646216.049969310872257,1251937.262499999953434,"20","163628"
"40200",1,Keine Gebühr,"2",Without median,Paved,{3FF02DA3-5E3E-4296-89C5-013152D8C7E5},NebenStr3,2645638.699700121302158,1252437.262499999953434,2646216.049969310872257,1251937.262499999953434,"287","163628"
"40204",1,Keine Gebühr,"2",Without median,Paved,{86BE5E1F-49B9-4262-8AEA-8A4578A15C86},NebenStr3,2642607.610786876175553,1247187.262499999953434,2643184.961056065279990,1246687.262499999953434,"56","160544"
"40204",1,Keine Gebühr,"2",Without median,Paved,{86BE5E1F-49B9-4262-8AEA-8A4578A15C86},NebenStr3,2643040.623488768003881,1247437.262499999953434,2643617.973757957573980,1246937.262499999953434,"49","160986"
"40204",1,Keine Gebühr,"2",Without median,Paved,{86BE5E1F-49B9-4262-8AEA-8A4578A15C86},NebenStr3,2643040.623488768003881,1246937.262499999953434,2643617.973757957573980,1246437.262499999953434,"528","160987"
"40204",1,Keine Gebühr,"2",Without median,Paved,{86BE5E1F-49B9-4262-8AEA-8A4578A15C86},NebenStr3,2643473.636190660297871,1246687.262499999953434,2644050.986459849867970,1246187.262499999953434,"522","161429"
"40204",1,Keine Gebühr,"2",Without median,Paved,{86BE5E1F-49B9-4262-8AEA-8A4578A15C86},NebenStr3,2643906.648892552126199,1246437.262499999953434,2644483.999161741696298,1245937.262499999953434,"501","161872"
